R2,R3,ADCMAX,ODR,BW,Low Power (uV),High Res (uV)
4,4,0x800000,1600,325,4.47,4.16
5,4,0xC35000,1280,260,3.82,3.42
6,4,0xF30000,1067,215,3.41,3.04
4,6,0xF30000,1067,215,3.42,3.05
5,6,0xB964F0,853,175,3.02,2.67
4,8,0x800000,800,160,2.92,2.57
8,4,0x800000,800,160,2.91,2.58
6,6,0xE6A900,711,145,2.74,2.42
5,8,0xC35000,640,130,2.6,2.29
6,8,0xF30000,533,110,2.38,2.07
8,6,0xF30000,533,110,2.37,2.08
4,12,0xF30000,533,105,2.37,2.07
5,12,0xB964F0,427,85,2.13,1.86
8,8,0x800000,400,80,2.08,1.79
4,16,0x800000,400,80,2.06,1.81
6,12,0xE6A900,356,70,1.96,1.7
5,16,0xC35000,320,65,1.86,1.62
6,16,0xF30000,267,55,1.71,1.48
8,12,0xF30000,267,55,1.71,1.48
4,32,0x800000,200,40,1.5,1.29
8,16,0x800000,200,40,1.5,1.29
5,32,0xC35000,160,32,1.36,1.16
6,32,0xF30000,133,27,1.25,1.07
4,64,0x800000,100,20,1.12,0.94
8,32,0x800000,100,20,1.12,0.94
5,64,0xC35000,80,16,1.02,0.85
6,64,0xF30000,67,13,0.94,0.79
4,128,0x800000,50,10,0.85,0.7
8,64,0x800000,50,10,0.85,0.7
5,128,0xC35000,40,8,0.79,0.64
6,128,0xF30000,33,7,0.74,0.6
8,128,0x800000,25,5,0.68,0.54
